id,uri,titulo,idLegislatura
54554,https://dadosabertos.camara.leg.br/api/v2/frentes/54554,Frente Parlamentar Mista da Economia Criativa - FECriativa,57
54546,https://dadosabertos.camara.leg.br/api/v2/frentes/54546,Frente Parlamentar Mista em Defesa do Saneamento Público,57
54549,https://dadosabertos.camara.leg.br/api/v2/frentes/54549,Frente Parlamentar da Telemedicina,57
54543,https://dadosabertos.camara.leg.br/api/v2/frentes/54543,Frente Parlamentar Mista pela Educação no Campo - FPMEDOC,57
54539,https://dadosabertos.camara.leg.br/api/v2/frentes/54539,Frente Parlamentar do Táxi,57
54551,https://dadosabertos.camara.leg.br/api/v2/frentes/54551,"Frente Parlamentar em Defesa da Tarifa Zero - Transporte Público, Gratuito e de Qualidade",57
54542,https://dadosabertos.camara.leg.br/api/v2/frentes/54542,Frente Parlamentar pelo Desenvolvimento da Agroecologia e Produção Orgânica,57
54538,https://dadosabertos.camara.leg.br/api/v2/frentes/54538,Frente Parlamentar em Defesa da Vida e da Família,57
54544,https://dadosabertos.camara.leg.br/api/v2/frentes/54544,Frente Parlamentar Mista do Artesão e Apoio do Artesanato Brasileiro,57
54536,https://dadosabertos.camara.leg.br/api/v2/frentes/54536,Frente Parlamentar em Defesa da Extensão da BR-448,57
54547,https://dadosabertos.camara.leg.br/api/v2/frentes/54547,Frente Parlamentar em Defesa das Cooperativas e Pequenos Laticínios do Brasil com Leite Nacional e da Pecuária Leiteira Brasileira (FPDCPLB),57
54540,https://dadosabertos.camara.leg.br/api/v2/frentes/54540,Frente Parlamentar Mista para o Desenvolvimento da Navegação Interior,57
54556,https://dadosabertos.camara.leg.br/api/v2/frentes/54556,"Frente Parlamentar Mista pela Defesa do Sistema de Proteção Social e valorização dos Agentes Comunitários de Saúde e dos Agentes de Combate às Endemias, ACS e ACE",57
54532,https://dadosabertos.camara.leg.br/api/v2/frentes/54532,Frente Parlamentar em Defesa da Carnaúba,57
54534,https://dadosabertos.camara.leg.br/api/v2/frentes/54534,Frente Parlamentar Mista dos Técnicos Agrícolas,57
54521,https://dadosabertos.camara.leg.br/api/v2/frentes/54521,Frente Parlamentar Mista em Defesa da Amazônia,57
54535,https://dadosabertos.camara.leg.br/api/v2/frentes/54535,Frente Parlamentar em Defesa dos Trabalhadores por Aplicativo,57
54522,https://dadosabertos.camara.leg.br/api/v2/frentes/54522,Frente Parlamentar Mista Brasil - Itália,57
54533,https://dadosabertos.camara.leg.br/api/v2/frentes/54533,Frente Parlamentar Mista Brasil-África com participação Popular de Enfrentamento ao Racismo,57
54527,https://dadosabertos.camara.leg.br/api/v2/frentes/54527,Frente Parlamentar Mista de Combate ao Trabalho Infantil e de Estímulo à Aprendizagem,57
54523,https://dadosabertos.camara.leg.br/api/v2/frentes/54523,Frente Parlamentar Mista da Optometria,57
54531,https://dadosabertos.camara.leg.br/api/v2/frentes/54531,Frente Parlamentar Mista PROSUL,57
54514,https://dadosabertos.camara.leg.br/api/v2/frentes/54514,Frente Parlamentar Mista em Defesa dos Direitos da População em Situação de Rua,57
54515,https://dadosabertos.camara.leg.br/api/v2/frentes/54515,Frente Parlamentar Mista em Defesa da Reforma Psiquiátrica e da Luta Antimanicomial,57
54501,https://dadosabertos.camara.leg.br/api/v2/frentes/54501,Frente Parlamentar do Cooperativismo (Frencoop),57
54508,https://dadosabertos.camara.leg.br/api/v2/frentes/54508,Frente Parlamentar em Defesa da Duplicação da BR - 235,57
54504,https://dadosabertos.camara.leg.br/api/v2/frentes/54504,Frente Parlamentar Mista das Profissões do Sistema Confea/Crea e Mútua,57
